"Primary Source","Intermediate source","Target","DistanceFromPrimary","Total Number of Downstream Relationships","Total Number of Upstream Relationships"
AgreementInquiry_NPI,                           ,                           ,                           ,185,3009
"AgreementInquiry_NPI","                           ","FITIC0A","1"
"AgreementInquiry_NPI","                           ","RentersAppWeb (/w0099658)","1"
"AgreementInquiry_NPI","                           ","HomeownersAppW0089708Web (/w0060006_4)","1"
"AgreementInquiry_NPI","                           ","CondoAppWeb (/w0099657)","1"
"   ","   ","   ","   "
"                        ","RentersAppWeb (/w0099658)","SFAddressBrokerCore","2"
"                        ","RentersAppWeb (/w0099658)","DB2","2"
"                        ","RentersAppWeb (/w0099658)","AgreementInquiry_NPI","2"
"                        ","RentersAppWeb (/w0099658)","DocumentCompositionController","2"
"                        ","RentersAppWeb (/w0099658)","Requests to unmonitored hosts","2"
"                        ","RentersAppWeb (/w0099658)","WtGetWordTrack","2"
"                        ","RentersAppWeb (/w0099658)","FireRulesIntegration","2"
"                        ","RentersAppWeb (/w0099658)","customerapi-rs-2.0-1 (/customerapi-rs/v2)","2"
"                        ","RentersAppWeb (/w0099658)","PDFPersistDataBean","2"
"                        ","HomeownersAppW0089708Web (/w0060006_4)","SFAddressBrokerCore","2"
"                        ","HomeownersAppW0089708Web (/w0060006_4)","DB2","2"
"                        ","HomeownersAppW0089708Web (/w0060006_4)","AgreementInquiry_NPI","2"
"                        ","HomeownersAppW0089708Web (/w0060006_4)","Requests to unmonitored hosts","2"
"                        ","HomeownersAppW0089708Web (/w0060006_4)","WtGetWordTrack","2"
"                        ","HomeownersAppW0089708Web (/w0060006_4)","FireRulesIntegration","2"
"                        ","HomeownersAppW0089708Web (/w0060006_4)","PDFPersistDataBean","2"
"                        ","HomeownersAppW0089708Web (/w0060006_4)","customerapi-rs-2.0-1 (/customerapi-rs/v2)","2"
"                        ","HomeownersAppW0089708Web (/w0060006_4)","FireInspectionSOProxyService","2"
"                        ","HomeownersAppW0089708Web (/w0060006_4)","DocumentCompositionController","2"
"                        ","CondoAppWeb (/w0099657)","DB2","2"
"                        ","CondoAppWeb (/w0099657)","SFAddressBrokerCore","2"
"                        ","CondoAppWeb (/w0099657)","DocumentCompositionController","2"
"                        ","CondoAppWeb (/w0099657)","Requests to unmonitored hosts","2"
"                        ","CondoAppWeb (/w0099657)","WtGetWordTrack","2"
"                        ","CondoAppWeb (/w0099657)","AgreementInquiry_NPI","2"
"                        ","CondoAppWeb (/w0099657)","FireRulesIntegration","2"
"                        ","CondoAppWeb (/w0099657)","customerapi-rs-2.0-1 (/customerapi-rs/v2)","2"
"   ","   ","   ","   "
"                        ","DocumentCompositionController","communication","3"
"                        ","DocumentCompositionController","Requests to unmonitored hosts","3"
"                        ","DocumentCompositionController","Adobe LiveCycle SOAP provider (/soap)","3"
"                        ","WtGetWordTrack","Requests to unmonitored hosts","3"
"                        ","FireRulesIntegration","firesvc","3"
"                        ","FireRulesIntegration","FireRulesDataAccess","3"
"                        ","customerapi-rs-2.0-1 (/customerapi-rs/v2)","EavsRetrieval","3"
"                        ","customerapi-rs-2.0-1 (/customerapi-rs/v2)","CustomerRetrievalService","3"
"                        ","customerapi-rs-2.0-1 (/customerapi-rs/v2)","customerpostaladdressapi-rs-1 (/customerpostaladdressapi-rs)","3"
"                        ","customerapi-rs-2.0-1 (/customerapi-rs/v2)","nameapi-rs-1 (/nameapi-rs)","3"
"                        ","customerapi-rs-2.0-1 (/customerapi-rs/v2)","driverslicenseapi-rs-1 (/driverslicenseapi-rs)","3"
"                        ","customerapi-rs-2.0-1 (/customerapi-rs/v2)","taxidentificationapi-rs-1 (/taxidentificationapi-rs)","3"
"                        ","customerapi-rs-2.0-1 (/customerapi-rs/v2)","profileapi-rs-1 (/profileapi-rs)","3"
"                        ","customerapi-rs-2.0-1 (/customerapi-rs/v2)","customercontactapi-rs-1 (/customercontactapi-rs)","3"
"                        ","PDFPersistDataBean","DB2","3"
"                        ","FireInspectionSOProxyService","FITIC0A","3"
"   ","   ","   ","   "
"                        ","Adobe LiveCycle SOAP provider (/soap)","DB2","4"
"                        ","FireRulesDataAccess","DDFHA0D","4"
"                        ","FireRulesDataAccess","DDFHD0D","4"
"                        ","EavsRetrieval","commonsvc","4"
"                        ","EavsRetrieval","IdentityController","4"
"                        ","CustomerRetrievalService","EavsRetrieval","4"
"                        ","CustomerRetrievalService","Requests to unmonitored hosts","4"
"                        ","CustomerRetrievalService","CustomerRetrievalIntegrationService","4"
"                        ","CustomerRetrievalService","cromsvcs","4"
"                        ","CustomerRetrievalService","IdentityController","4"
